Column 1,Column 2,Column 3,Column 4,Column 5
X,CH 1,CH 2,Start,Increment
µs, V, V,-3.000000e-03,5.000000e-06
-8192.000000,25.40,5.60,,
-8189.999756,18.20,5.60,,
-8187.999512,-23.40,5.60,,
-8185.999267,11.00,5.60,,
-8183.999023,-4.60,4.80,,
-8181.998779,-4.60,4.80,,
-8179.998535,-4.60,4.80,,
-8177.998291,-4.60,4.80,,
-8175.998047,-4.60,4.80,,
-8173.997802,-4.60,4.80,,
-8171.997558,-4.60,4.80,,
-8169.997314,-4.60,4.80,,
-8167.997070,-4.60,4.80,,
-8165.996826,-4.60,4.80,,
-8163.996582,-4.60,4.80,,
-8161.996337,-4.60,4.80,,
-8159.996093,-4.60,4.80,,
-8157.995849,-4.60,4.80,,
-8155.995605,-4.60,4.80,,
-8153.995361,-4.80,4.80,,
-8151.995117,-4.60,4.80,,
-8149.994872,-4.60,4.80,,
-8147.994628,-4.60,4.80,,
-8145.994384,-4.60,4.80,,
-8143.994140,-4.60,4.80,,
-8141.993896,-4.60,4.80,,
-8139.993652,-4.60,4.80,,
-8137.993407,-4.60,4.80,,
-8135.993163,-4.60,4.80,,
-8133.992919,-4.60,4.80,,
-8131.992675,-4.60,4.80,,
-8129.992431,-4.60,4.80,,
-8127.992187,-4.60,4.80,,
-8125.991942,-4.60,4.80,,
-8123.991698,-4.60,4.80,,
-8121.991454,-4.60,4.80,,
-8119.991210,-4.60,4.80,,
-8117.990966,-4.60,4.80,,
-8115.990722,-4.60,4.80,,
-8113.990477,-4.80,4.80,,
-8111.990233,-4.60,4.80,,
-8109.989989,-4.80,4.80,,
-8107.989745,-4.60,4.80,,
-8105.989501,-4.60,4.80,,
-8103.989257,-4.60,4.80,,
-8101.989012,-4.60,4.80,,
-8099.988768,-4.60,4.80,,
-8097.988524,-4.60,4.80,,
-8095.988280,-4.60,4.80,,
-8093.988036,-4.60,4.80,,
-8091.987791,-4.60,4.80,,
-8089.987547,-4.60,4.80,,
-8087.987303,-4.60,4.80,,
-8085.987059,-4.60,4.80,,
-8083.986815,-4.60,4.80,,
-8081.986571,-4.60,4.80,,
-8079.986326,-4.60,4.80,,
-8077.986082,-4.60,4.80,,
-8075.985838,-4.60,4.80,,
-8073.985594,-4.60,4.80,,
-8071.985350,-4.60,4.80,,
-8069.985106,-4.60,4.60,,
-8067.984861,-4.60,4.80,,
-8065.984617,-4.60,4.80,,
-8063.984373,-4.60,4.80,,
-8061.984129,-4.60,4.80,,
-8059.983885,-4.60,4.80,,
