Column 1,Column 2,Column 3,Column 4,Column 5
X,CH 1,CH 2,Start,Increment
µs, V, V,-3.000000e-03,5.000000e-06
-8192.000000,25.40,5.40,,
-8189.999756,18.20,5.40,,
-8187.999512,-23.40,5.40,,
-8185.999267,11.00,5.40,,
-8183.999023,0.40,5.40,,
-8181.998779,0.40,5.40,,
-8179.998535,0.40,5.40,,
-8177.998291,0.40,5.40,,
-8175.998047,0.40,5.40,,
-8173.997802,0.40,5.40,,
-8171.997558,0.40,5.40,,
-8169.997314,0.40,5.40,,
-8167.997070,0.40,5.40,,
-8165.996826,0.40,5.40,,
-8163.996582,0.40,5.40,,
-8161.996337,0.40,5.40,,
-8159.996093,0.40,5.40,,
-8157.995849,0.40,5.40,,
-8155.995605,0.40,5.40,,
-8153.995361,0.40,5.40,,
-8151.995117,0.40,5.40,,
-8149.994872,0.40,5.40,,
-8147.994628,0.40,5.40,,
-8145.994384,0.40,5.40,,
-8143.994140,0.40,5.40,,
-8141.993896,0.40,5.40,,
-8139.993652,0.40,5.40,,
-8137.993407,0.40,5.40,,
-8135.993163,0.40,5.40,,
-8133.992919,0.20,5.40,,
-8131.992675,0.40,5.40,,
-8129.992431,0.40,5.40,,
-8127.992187,0.40,5.40,,
-8125.991942,0.20,5.40,,
-8123.991698,0.40,5.40,,
-8121.991454,0.40,5.40,,
-8119.991210,0.40,5.40,,
-8117.990966,0.20,5.40,,
-8115.990722,0.40,5.40,,
-8113.990477,0.40,5.40,,
-8111.990233,0.40,5.40,,
-8109.989989,0.40,5.40,,
-8107.989745,0.20,5.40,,
-8105.989501,0.40,5.40,,
-8103.989257,0.40,5.40,,
-8101.989012,0.40,5.40,,
-8099.988768,0.20,5.40,,
-8097.988524,0.40,5.40,,
-8095.988280,0.40,5.40,,
-8093.988036,0.40,5.40,,
-8091.987791,0.40,5.40,,
-8089.987547,0.20,5.40,,
-8087.987303,0.40,5.20,,
-8085.987059,0.40,5.40,,
-8083.986815,0.40,5.40,,
-8081.986571,0.20,5.40,,
-8079.986326,0.40,5.40,,
-8077.986082,0.20,5.40,,
-8075.985838,0.20,5.40,,
-8073.985594,0.40,5.40,,
-8071.985350,0.40,5.40,,
-8069.985106,0.40,5.40,,
-8067.984861,0.40,5.40,,
-8065.984617,0.40,5.40,,
-8063.984373,0.40,5.40,,
-8061.984129,0.40,5.40,,
-8059.983885,0.20,5.40,,
-8057.983641,0.40,5.40,,
-8055.983396,0.40,5.40,,
-8053.983152,0.20,5.40,,
-8051.982908,0.20,5.40,,
